size of x:   1
size of i:   2
size of y:   8
size of sn1: 8
size of sn2: 8

address        | content (hex) | content (dec) | variable
---------------|---------------|---------------|---------
0x7fff4c49933d | 0x81          | 129           | x
0x7fff4c49933e | 0x34          |  52           | i
0x7fff4c49933f | 0x12          |  18           | 
0x7fff4c499340 | 0x80          | 128           | sn1
0x7fff4c499341 | 0x69          | 105           | 
0x7fff4c499342 | 0x0f          |  15           | 
0x7fff4c499343 | 0x00          |   0           | 
0x7fff4c499344 | 0x00          |   0           | 
0x7fff4c499345 | 0x00          |   0           | 
0x7fff4c499346 | 0x00          |   0           | 
0x7fff4c499347 | 0x00          |   0           | 
0x7fff4c499348 | 0x4b          |  75           | sn2
0x7fff4c499349 | 0x69          | 105           | 
0x7fff4c49934a | 0x0f          |  15           | 
0x7fff4c49934b | 0x00          |   0           | 
0x7fff4c49934c | 0x00          |   0           | 
0x7fff4c49934d | 0x00          |   0           | 
0x7fff4c49934e | 0x00          |   0           | 
0x7fff4c49934f | 0x00          |   0           | 
0x7fff4c499350 | 0x44          |  68           | y
0x7fff4c499351 | 0x33          |  51           | 
0x7fff4c499352 | 0x22          |  34           | 
0x7fff4c499353 | 0x11          |  17           | 
0x7fff4c499354 | 0x11          |  17           | 
0x7fff4c499355 | 0x22          |  34           | 
0x7fff4c499356 | 0x33          |  51           | 
0x7fff4c499357 | 0x44          |  68           | 
